NAZEV,OKRES,KRAJ
Koldín,Ústí nad Orlicí,Pardubický kraj
Kolešov,Rakovník,Středočeský kraj
Kolešovice,Rakovník,Středočeský kraj
Koleč,Kladno,Středočeský kraj
Kolinec,Klatovy,Plzeňský kraj
Kolomuty,Mladá Boleslav,Středočeský kraj
Koloveč,Domažlice,Plzeňský kraj
Kolová,Karlovy Vary,Karlovarský kraj
Kolšov,Šumperk,Olomoucký kraj
Kolín,Kolín,Středočeský kraj
Komařice,České Budějovice,Jihočeský kraj
Komorní Lhotka,Frýdek-Místek,Moravskoslezský kraj
Komorovice,Pelhřimov,Kraj Vysočina
Komořany,Vyškov,Jihomoravský kraj
Komárno,Kroměříž,Zlínský kraj
Komárov,Zlín,Zlínský kraj
Komárov,Beroun,Středočeský kraj
Komárov,Tábor,Jihočeský kraj
Komárov,Olomouc,Olomoucký kraj
Komárovice,Třebíč,Kraj Vysočina
Komňa,Uherské Hradiště,Zlínský kraj
Kondrac,Benešov,Středočeský kraj
Konecchlumí,Jičín,Královéhradecký kraj
Konice,Prostějov,Olomoucký kraj
Konojedy,Praha-východ,Středočeský kraj
Konstantinovy Lázně,Tachov,Plzeňský kraj
Konárovice,Kolín,Středočeský kraj
Koněprusy,Beroun,Středočeský kraj
Konětopy,Praha-východ,Středočeský kraj
Koněšín,Třebíč,Kraj Vysočina
Kopidlno,Jičín,Královéhradecký kraj
Kopidlo,Plzeň-sever,Plzeňský kraj
Kopřivnice,Nový Jičín,Moravskoslezský kraj
Kopřivná,Šumperk,Olomoucký kraj
Korkyně,Příbram,Středočeský kraj
Kornatice,Rokycany,Plzeňský kraj
Korno,Beroun,Středočeský kraj
Korolupy,Znojmo,Jihomoravský kraj
Korouhev,Svitavy,Pardubický kraj
Koroužné,Žďár nad Sázavou,Kraj Vysočina
Korozluky,Most,Ústecký kraj
Koruna,Svitavy,Pardubický kraj
Koryta,Plzeň-sever,Plzeňský kraj
Koryta,Mladá Boleslav,Středočeský kraj
Korytná,Uherské Hradiště,Zlínský kraj
Koryčany,Kroměříž,Zlínský kraj
Kosice,Hradec Králové,Královéhradecký kraj
Kosičky,Hradec Králové,Královéhradecký kraj
Kosmonosy,Mladá Boleslav,Středočeský kraj
Kosov,Šumperk,Olomoucký kraj
Kosova Hora,Příbram,Středočeský kraj
Kosoř,Praha-západ,Středočeský kraj
Kosořice,Mladá Boleslav,Středočeský kraj
Kosořín,Ústí nad Orlicí,Pardubický kraj
Kostelany,Kroměříž,Zlínský kraj
Kostelany nad Moravou,Uherské Hradiště,Zlínský kraj
Kostelec,Hodonín,Jihomoravský kraj
Kostelec,Tachov,Plzeňský kraj
Kostelec,Jičín,Královéhradecký kraj
Kostelec,Jihlava,Kraj Vysočina
Kostelec na Hané,Prostějov,Olomoucký kraj
Kostelec nad Labem,Mělník,Středočeský kraj
Kostelec nad Orlicí,Rychnov nad Kněžnou,Královéhradecký kraj
Kostelec nad Vltavou,Písek,Jihočeský kraj
Kostelec nad Černými lesy,Praha-východ,Středočeský kraj
Kostelec u Heřmanova Městce,Chrudim,Pardubický kraj
Kostelec u Holešova,Kroměříž,Zlínský kraj
Kostelec u Křížků,Praha-východ,Středočeský kraj
Kostelecké Horky,Rychnov nad Kněžnou,Královéhradecký kraj
Kostelní Hlavno,Praha-východ,Středočeský kraj
Kostelní Lhota,Nymburk,Středočeský kraj
Kostelní Myslová,Jihlava,Kraj Vysočina
Kostelní Radouň,Jindřichův Hradec,Jihočeský kraj
Kostelní Vydří,Jindřichův Hradec,Jihočeský kraj
Kostice,Břeclav,Jihomoravský kraj
Kostníky,Třebíč,Kraj Vysočina
Kostomlaty nad Labem,Nymburk,Středočeský kraj
Kostomlaty pod Milešovkou,Teplice,Ústecký kraj
Kostomlaty pod Řípem,Litoměřice,Ústecký kraj
Kostomlátky,Nymburk,Středočeský kraj
Kostěnice,Pardubice,Pardubický kraj
Kotenčice,Příbram,Středočeský kraj
Kotlasy,Žďár nad Sázavou,Kraj Vysočina
Kotopeky,Beroun,Středočeský kraj
Kotovice,Plzeň-jih,Plzeňský kraj
Kotvrdovice,Blansko,Jihomoravský kraj
Kounice,Nymburk,Středočeský kraj
Kounov,Rychnov nad Kněžnou,Královéhradecký kraj
Kounov,Rakovník,Středočeský kraj
Koupě,Příbram,Středočeský kraj
Kout na Šumavě,Domažlice,Plzeňský kraj
Kouty,Nymburk,Středočeský kraj
Kouty,Havlíčkův Brod,Kraj Vysočina
Kouty,Třebíč,Kraj Vysočina
Kouřim,Kolín,Středočeský kraj
Kovalovice,Brno-venkov,Jihomoravský kraj
Kovanec,Mladá Boleslav,Středočeský kraj
Kovanice,Nymburk,Středočeský kraj
Kovač,Jičín,Královéhradecký kraj
Koválovice-Osíčany,Prostějov,Olomoucký kraj
Kováň,Mladá Boleslav,Středočeský kraj
Kovářov,Písek,Jihočeský kraj
Kovářská,Chomutov,Ústecký kraj
Kovčín,Klatovy,Plzeňský kraj
Kozlany,Vyškov,Jihomoravský kraj
Kozlany,Třebíč,Kraj Vysočina
Kozlov,Jihlava,Kraj Vysočina
Kozlov,Havlíčkův Brod,Kraj Vysočina
Kozlov,Žďár nad Sázavou,Kraj Vysočina
Kozlov,Olomouc,Olomoucký kraj
Kozlovice,Frýdek-Místek,Moravskoslezský kraj
Kozlovice,Plzeň-jih,Plzeňský kraj
Kozly,Louny,Ústecký kraj
Kozly,Česká Lípa,Liberecký kraj
Kozmice,Benešov,Středočeský kraj
Kozmice,Opava,Moravskoslezský kraj
Kozojedy,Plzeň-sever,Plzeňský kraj
Kozojedy,Rakovník,Středočeský kraj
Kozojedy,Jičín,Královéhradecký kraj
Kozojedy,Praha-východ,Středočeský kraj
Kozojídky,Hodonín,Jihomoravský kraj
Kozolupy,Plzeň-sever,Plzeňský kraj
Kozomín,Mělník,Středočeský kraj
Kozárov,Blansko,Jihomoravský kraj
Kozárovice,Příbram,Středočeský kraj
Košařiska,Frýdek-Místek,Moravskoslezský kraj
Košetice,Pelhřimov,Kraj Vysočina
Košice,Tábor,Jihočeský kraj
Košice,Kutná Hora,Středočeský kraj
Koštice,Louny,Ústecký kraj
Košťany,Teplice,Ústecký kraj
Košťálov,Semily,Liberecký kraj
Košátky,Mladá Boleslav,Středočeský kraj
Košík,Nymburk,Středočeský kraj
Košíky,Uherské Hradiště,Zlínský kraj
Košín,Tábor,Jihočeský kraj
Kožichovice,Třebíč,Kraj Vysočina
Kožlany,Plzeň-sever,Plzeňský kraj
Kožlí,Havlíčkův Brod,Kraj Vysočina
Kožlí,Písek,Jihočeský kraj
Kožušany-Tážaly,Olomouc,Olomoucký kraj
Kožušice,Vyškov,Jihomoravský kraj
Kočov,Tachov,Plzeňský kraj
Kočí,Chrudim,Pardubický kraj
Kočín,Plzeň-sever,Plzeňský kraj
Kořenec,Blansko,Jihomoravský kraj
Kořenice,Kolín,Středočeský kraj
Kořenov,Jablonec nad Nisou,Liberecký kraj
Kraborovice,Havlíčkův Brod,Kraj Vysočina
Krabčice,Litoměřice,Ústecký kraj
Krahulov,Třebíč,Kraj Vysočina
Krahulčí,Jihlava,Kraj Vysočina
Krajková,Sokolov,Karlovarský kraj
Krajníčko,Strakonice,Jihočeský kraj
Krakov,Rakovník,Středočeský kraj
Krakovany,Kolín,Středočeský kraj
Krakovec,Rakovník,Středočeský kraj
Kralice na Hané,Prostějov,Olomoucký kraj
Kralice nad Oslavou,Třebíč,Kraj Vysočina
Kralovice,Plzeň-sever,Plzeňský kraj
Kralupy nad Vltavou,Mělník,Středočeský kraj
Kramolna,Náchod,Královéhradecký kraj
Kramolín,Plzeň-jih,Plzeňský kraj
Kramolín,Třebíč,Kraj Vysočina
Kraselov,Strakonice,Jihočeský kraj
Kraslice,Sokolov,Karlovarský kraj
Krasonice,Jihlava,Kraj Vysočina
Krasov,Bruntál,Moravskoslezský kraj
Krasová,Blansko,Jihomoravský kraj
Krasíkov,Ústí nad Orlicí,Pardubický kraj
Krasíkovice,Pelhřimov,Kraj Vysočina
Kratochvilka,Brno-venkov,Jihomoravský kraj
Kratonohy,Hradec Králové,Královéhradecký kraj
Kratušín,Prachatice,Jihočeský kraj
Kravaře,Česká Lípa,Liberecký kraj
Kravaře,Opava,Moravskoslezský kraj
Kravsko,Znojmo,Jihomoravský kraj
Krašlovice,Strakonice,Jihočeský kraj
Krašovice,Plzeň-sever,Plzeňský kraj
Krchleby,Nymburk,Středočeský kraj
Krchleby,Rychnov nad Kněžnou,Královéhradecký kraj
Krchleby,Kutná Hora,Středočeský kraj
Krchleby,Šumperk,Olomoucký kraj
Krejnice,Strakonice,Jihočeský kraj
Krhanice,Benešov,Středočeský kraj
Krhov,Třebíč,Kraj Vysočina
Krhov,Blansko,Jihomoravský kraj
Krhovice,Znojmo,Jihomoravský kraj
Krhová,Vsetín,Zlínský kraj
Krmelín,Frýdek-Místek,Moravskoslezský kraj
Krnov,Bruntál,Moravskoslezský kraj
Krnsko,Mladá Boleslav,Středočeský kraj
Krokočín,Třebíč,Kraj Vysočina
Krompach,Česká Lípa,Liberecký kraj
Kroměříž,Kroměříž,Zlínský kraj
Kropáčova Vrutice,Mladá Boleslav,Středočeský kraj
Krouna,Chrudim,Pardubický kraj
Kroučová,Rakovník,Středočeský kraj
Krsy,Plzeň-sever,Plzeňský kraj
Krtov,Tábor,Jihočeský kraj
Krty,Rakovník,Středočeský kraj
Krty-Hradec,Strakonice,Jihočeský kraj
Krucemburk,Havlíčkův Brod,Kraj Vysočina
Kruh,Semily,Liberecký kraj
Krumsín,Prostějov,Olomoucký kraj
Krumvíř,Břeclav,Jihomoravský kraj
Krupka,Teplice,Ústecký kraj
Krupá,Kolín,Středočeský kraj
Krupá,Rakovník,Středočeský kraj
Krušovice,Rakovník,Středočeský kraj
Kružberk,Opava,Moravskoslezský kraj
Krychnov,Kolín,Středočeský kraj
Kryry,Louny,Ústecký kraj
Kryštofovo Údolí,Liberec,Liberecký kraj
Kryštofovy Hamry,Chomutov,Ústecký kraj
Králova Lhota,Rychnov nad Kněžnou,Královéhradecký kraj
Králova Lhota,Písek,Jihočeský kraj
Královec,Trutnov,Královéhradecký kraj
Královice,Kladno,Středočeský kraj
Královské Poříčí,Sokolov,Karlovarský kraj
Králíky,Ústí nad Orlicí,Pardubický kraj
Králíky,Hradec Králové,Královéhradecký kraj
Králův Dvůr,Beroun,Středočeský kraj
Krásensko,Vyškov,Jihomoravský kraj
Krásno,Sokolov,Karlovarský kraj
Krásná,Cheb,Karlovarský kraj
Krásná,Frýdek-Místek,Moravskoslezský kraj
Krásná Hora,Havlíčkův Brod,Kraj Vysočina
Krásná Hora nad Vltavou,Příbram,Středočeský kraj
Krásná Lípa,Děčín,Ústecký kraj
Krásná Ves,Mladá Boleslav,Středočeský kraj
Krásné,Žďár nad Sázavou,Kraj Vysočina
Krásné,Chrudim,Pardubický kraj
Krásné Údolí,Karlovy Vary,Karlovarský kraj
Krásněves,Žďár nad Sázavou,Kraj Vysočina
Krásný Dvůr,Louny,Ústecký kraj
Krásný Les,Liberec,Liberecký kraj
Krásný Les,Karlovy Vary,Karlovarský kraj
Krátká Ves,Havlíčkův Brod,Kraj Vysočina
Krátošice,Tábor,Jihočeský kraj
Krčmaň,Olomouc,Olomoucký kraj
Krňany,Benešov,Středočeský kraj
Ktiš,Prachatice,Jihočeský kraj
Ktová,Semily,Liberecký kraj
Kublov,Beroun,Středočeský kraj
Kubova Huť,Prachatice,Jihočeský kraj
Kubšice,Znojmo,Jihomoravský kraj
Kuchařovice,Znojmo,Jihomoravský kraj
Kudlovice,Uherské Hradiště,Zlínský kraj
Kujavy,Nový Jičín,Moravskoslezský kraj
Kukle,Svitavy,Pardubický kraj
Kuklík,Žďár nad Sázavou,Kraj Vysočina
Kuks,Trutnov,Královéhradecký kraj
Kulířov,Blansko,Jihomoravský kraj
Kundratice,Žďár nad Sázavou,Kraj Vysočina
Kunemil,Havlíčkův Brod,Kraj Vysočina
Kunice,Blansko,Jihomoravský kraj
Kunice,Praha-východ,Středočeský kraj
Kuničky,Blansko,Jihomoravský kraj
Kunkovice,Kroměříž,Zlínský kraj
Kunovice,Uherské Hradiště,Zlínský kraj
Kunovice,Vsetín,Zlínský kraj
Kunratice,Liberec,Liberecký kraj
Kunratice,Děčín,Ústecký kraj
Kunratice u Cvikova,Česká Lípa,Liberecký kraj
Kunvald,Ústí nad Orlicí,Pardubický kraj
Kunštát,Blansko,Jihomoravský kraj
Kunžak,Jindřichův Hradec,Jihočeský kraj
Kunčice,Hradec Králové,Královéhradecký kraj
Kunčice nad Labem,Trutnov,Královéhradecký kraj
Kunčice pod Ondřejníkem,Frýdek-Místek,Moravskoslezský kraj
Kunčina,Svitavy,Pardubický kraj
Kunčina Ves,Blansko,Jihomoravský kraj
Kunějovice,Plzeň-sever,Plzeňský kraj
Kunětice,Pardubice,Pardubický kraj
Kunín,Nový Jičín,Moravskoslezský kraj
Kupařovice,Brno-venkov,Jihomoravský kraj
Kurdějov,Břeclav,Jihomoravský kraj
Kuroslepy,Třebíč,Kraj Vysočina
Kurovice,Kroměříž,Zlínský kraj
Kutná Hora,Kutná Hora,Středočeský kraj
Kutrovice,Kladno,Středočeský kraj
Kuželov,Hodonín,Jihomoravský kraj
Kučerov,Vyškov,Jihomoravský kraj
Kučeř,Písek,Jihočeský kraj
Kuňovice,Benešov,Středočeský kraj
Kuřim,Brno-venkov,Jihomoravský kraj
Kuřimany,Strakonice,Jihočeský kraj
Kuřimská Nová Ves,Brno-venkov,Jihomoravský kraj
Kuřimské Jestřabí,Brno-venkov,Jihomoravský kraj
Kvasice,Kroměříž,Zlínský kraj
Kvasiny,Rychnov nad Kněžnou,Královéhradecký kraj
Kvilda,Prachatice,Jihočeský kraj
Kváskovice,Strakonice,Jihočeský kraj
Kvášňovice,Klatovy,Plzeňský kraj
Květinov,Havlíčkův Brod,Kraj Vysočina
Květnice,Praha-východ,Středočeský kraj
Květná,Svitavy,Pardubický kraj
Květov,Písek,Jihočeský kraj
Kvílice,Kladno,Středočeský kraj
Kvítkov,Česká Lípa,Liberecký kraj
Kvítkovice,České Budějovice,Jihočeský kraj
Kvíčovice,Domažlice,Plzeňský kraj
Kyje,Jičín,Královéhradecký kraj
Kyjov,Havlíčkův Brod,Kraj Vysočina
Kyjov,Žďár nad Sázavou,Kraj Vysočina
Kyjov,Hodonín,Jihomoravský kraj
Kyjovice,Znojmo,Jihomoravský kraj
Kyjovice,Opava,Moravskoslezský kraj
Kynice,Havlíčkův Brod,Kraj Vysočina
Kynšperk nad Ohří,Sokolov,Karlovarský kraj
Kyselka,Karlovy Vary,Karlovarský kraj
Kyselovice,Kroměříž,Zlínský kraj
Kytlice,Děčín,Ústecký kraj
Kytín,Praha-západ,Středočeský kraj
Kyšice,Plzeň-město,Plzeňský kraj
Kyšice,Kladno,Středočeský kraj
Kyškovice,Litoměřice,Ústecký kraj
Kšely,Kolín,Středočeský kraj
Kšice,Tachov,Plzeňský kraj
Kácov,Kutná Hora,Středočeský kraj
Kájov,Český Krumlov,Jihočeský kraj
Kámen,Havlíčkův Brod,Kraj Vysočina
Kámen,Děčín,Ústecký kraj
Kámen,Pelhřimov,Kraj Vysočina
Káranice,Hradec Králové,Královéhradecký kraj
Káraný,Praha-východ,Středočeský kraj
Kňovice,Příbram,Středočeský kraj
Křekov,Zlín,Zlínský kraj
Křelov-Břuchotín,Olomouc,Olomoucký kraj
Křelovice,Pelhřimov,Kraj Vysočina
Křelovice,Plzeň-sever,Plzeňský kraj
Křemže,Český Krumlov,Jihočeský kraj
Křenek,Praha-východ,Středočeský kraj
Křenice,Praha-východ,Středočeský kraj
Křenice,Klatovy,Plzeňský kraj
Křenov,Svitavy,Pardubický kraj
Křenovice,Přerov,Olomoucký kraj
Křenovice,Písek,Jihočeský kraj
Křenovice,Vyškov,Jihomoravský kraj
Křenovy,Domažlice,Plzeňský kraj
Křepenice,Příbram,Středočeský kraj
Křepice,Břeclav,Jihomoravský kraj
Křepice,Znojmo,Jihomoravský kraj
Křesetice,Kutná Hora,Středočeský kraj
Křesín,Litoměřice,Ústecký kraj
Křetín,Blansko,Jihomoravský kraj
Křešice,Litoměřice,Ústecký kraj
Křešín,Příbram,Středočeský kraj
Křešín,Pelhřimov,Kraj Vysočina
Křeč,Pelhřimov,Kraj Vysočina
Křečhoř,Kolín,Středočeský kraj
Křečkov,Nymburk,Středočeský kraj
Křečovice,Benešov,Středočeský kraj
Křimov,Chomutov,Ústecký kraj
Křinec,Nymburk,Středočeský kraj
Křinice,Náchod,Královéhradecký kraj
Křivoklát,Rakovník,Středočeský kraj
Křivsoudov,Benešov,Středočeský kraj
Křišťanov,Prachatice,Jihočeský kraj
Křišťanovice,Bruntál,Moravskoslezský kraj
Křižanov,Písek,Jihočeský kraj
Křižanov,Žďár nad Sázavou,Kraj Vysočina
Křižanovice,Chrudim,Pardubický kraj
Křižanovice,Vyškov,Jihomoravský kraj
Křižanovice u Vyškova,Vyškov,Jihomoravský kraj
Křižany,Liberec,Liberecký kraj
Křižovatka,Cheb,Karlovarský kraj
Křižánky,Žďár nad Sázavou,Kraj Vysočina
Křižínkov,Brno-venkov,Jihomoravský kraj
Křičeň,Pardubice,Pardubický kraj
Křoví,Žďár nad Sázavou,Kraj Vysočina
Křtiny,Blansko,Jihomoravský kraj
Křtomil,Přerov,Olomoucký kraj
Křtěnov,Blansko,Jihomoravský kraj
Křídla,Žďár nad Sázavou,Kraj Vysočina
Křídlůvky,Znojmo,Jihomoravský kraj
Křížkový Újezdec,Praha-východ,Středočeský kraj
Labská Stráň,Děčín,Ústecký kraj
Labské Chrčice,Pardubice,Pardubický kraj
Labuty,Hodonín,Jihomoravský kraj
Ladná,Břeclav,Jihomoravský kraj
Lahošť,Teplice,Ústecký kraj
Lampertice,Trutnov,Královéhradecký kraj
Lanškroun,Ústí nad Orlicí,Pardubický kraj
Lanžhot,Břeclav,Jihomoravský kraj
Lanžov,Trutnov,Královéhradecký kraj
Lančov,Znojmo,Jihomoravský kraj
Lavičky,Žďár nad Sázavou,Kraj Vysočina
Lavičné,Svitavy,Pardubický kraj
Lazinov,Blansko,Jihomoravský kraj
Lazníky,Přerov,Olomoucký kraj
Lazníčky,Přerov,Olomoucký kraj
Lazsko,Příbram,Středočeský kraj
Laškov,Prostějov,Olomoucký kraj
Lašovice,Rakovník,Středočeský kraj
Lažany,Strakonice,Jihočeský kraj
Lažany,Liberec,Liberecký kraj
Lažany,Blansko,Jihomoravský kraj
Lažiště,Prachatice,Jihočeský kraj
Lažánky,Strakonice,Jihočeský kraj
Lažánky,Brno-venkov,Jihomoravský kraj
Lačnov,Vsetín,Zlínský kraj
Lechotice,Kroměříž,Zlínský kraj
Lechovice,Znojmo,Jihomoravský kraj
Ledce,Hradec Králové,Královéhradecký kraj
Ledce,Plzeň-sever,Plzeňský kraj
Ledce,Kladno,Středočeský kraj
Ledce,Mladá Boleslav,Středočeský kraj
Ledce,Brno-venkov,Jihomoravský kraj
Ledenice,České Budějovice,Jihočeský kraj
Ledeč nad Sázavou,Havlíčkův Brod,Kraj Vysočina
Ledečko,Kutná Hora,Středočeský kraj
Lednice,Břeclav,Jihomoravský kraj
Ledvice,Teplice,Ústecký kraj
Ledčice,Mělník,Středočeský kraj
Lejšovka,Hradec Králové,Královéhradecký kraj
Lelekovice,Brno-venkov,Jihomoravský kraj
Lenešice,Louny,Ústecký kraj
Lenora,Prachatice,Jihočeský kraj
Leskovec,Vsetín,Zlínský kraj
Leskovec nad Moravicí,Bruntál,Moravskoslezský kraj
Leskovice,Pelhřimov,Kraj Vysočina
Lesnice,Šumperk,Olomoucký kraj
Lesná,Pelhřimov,Kraj Vysočina
Lesná,Třebíč,Kraj Vysočina
Lesná,Znojmo,Jihomoravský kraj
Lesná,Tachov,Plzeňský kraj
Lesní Hluboké,Brno-venkov,Jihomoravský kraj
Lesní Jakubov,Třebíč,Kraj Vysočina
Lesonice,Znojmo,Jihomoravský kraj
Lesonice,Třebíč,Kraj Vysočina
Lestkov,Tachov,Plzeňský kraj
Lesůňky,Třebíč,Kraj Vysočina
Letiny,Plzeň-jih,Plzeňský kraj
Letkov,Plzeň-město,Plzeňský kraj
Letohrad,Ústí nad Orlicí,Pardubický kraj
Letonice,Vyškov,Jihomoravský kraj
Letovice,Blansko,Jihomoravský kraj
Lety,Písek,Jihočeský kraj
Lety,Praha-západ,Středočeský kraj
Levín,Litoměřice,Ústecký kraj
Levínská Olešnice,Semily,Liberecký kraj
Lešany,Prostějov,Olomoucký kraj
Lešany,Benešov,Středočeský kraj
Lešetice,Příbram,Středočeský kraj
Leškovice,Havlíčkův Brod,Kraj Vysočina
Lešná,Vsetín,Zlínský kraj
Leština,Šumperk,Olomoucký kraj
Leština,Ústí nad Orlicí,Pardubický kraj
Leština u Světlé,Havlíčkův Brod,Kraj Vysočina
Leštinka,Chrudim,Pardubický kraj
Lhenice,Prachatice,Jihočeský kraj
Lhota,Praha-východ,Středočeský kraj
Lhota,Přerov,Olomoucký kraj
Lhota,Kladno,Středočeský kraj
Lhota,Zlín,Zlínský kraj
Lhota Rapotina,Blansko,Jihomoravský kraj
Lhota pod Hořičkami,Náchod,Královéhradecký kraj
Lhota pod Libčany,Hradec Králové,Královéhradecký kraj
Lhota pod Radčem,Rokycany,Plzeňský kraj
Lhota u Lysic,Blansko,Jihomoravský kraj
Lhota u Olešnice,Blansko,Jihomoravský kraj
Lhota u Příbramě,Příbram,Středočeský kraj
Lhota u Vsetína,Vsetín,Zlínský kraj
Lhota-Vlasenice,Pelhřimov,Kraj Vysočina
Lhotice,Třebíč,Kraj Vysočina
Lhotka,Přerov,Olomoucký kraj
Lhotka,Jihlava,Kraj Vysočina
Lhotka,Beroun,Středočeský kraj
Lhotka,Žďár nad Sázavou,Kraj Vysočina
Lhotka,Frýdek-Místek,Moravskoslezský kraj
Lhotka,Mělník,Středočeský kraj
Lhotka nad Labem,Litoměřice,Ústecký kraj
Lhotka u Litultovic,Opava,Moravskoslezský kraj
Lhotka u Radnic,Rokycany,Plzeňský kraj
Lhotky,Mladá Boleslav,Středočeský kraj
Lhotsko,Zlín,Zlínský kraj
Lhoty u Potštejna,Rychnov nad Kněžnou,Královéhradecký kraj
Lhánice,Třebíč,Kraj Vysočina
Lhůta,Plzeň-město,Plzeňský kraj
Libavské Údolí,Sokolov,Karlovarský kraj
Libavá,Olomouc,Olomoucký kraj
Libchavy,Ústí nad Orlicí,Pardubický kraj
Libchyně,Náchod,Královéhradecký kraj
Libecina,Ústí nad Orlicí,Pardubický kraj
Libel,Rychnov nad Kněžnou,Královéhradecký kraj
Libenice,Kolín,Středočeský kraj
Liberec,Liberec,Liberecký kraj
Liberk,Rychnov nad Kněžnou,Královéhradecký kraj
Libež,Benešov,Středočeský kraj
Libeř,Praha-západ,Středočeský kraj
Libhošť,Nový Jičín,Moravskoslezský kraj
Libice nad Cidlinou,Nymburk,Středočeský kraj
Libice nad Doubravou,Havlíčkův Brod,Kraj Vysočina
Libina,Šumperk,Olomoucký kraj
Libiš,Mělník,Středočeský kraj
Libišany,Pardubice,Pardubický kraj
Libkov,Chrudim,Pardubický kraj
Libkov,Domažlice,Plzeňský kraj
Libkova Voda,Pelhřimov,Kraj Vysočina
Libkovice pod Řípem,Litoměřice,Ústecký kraj
Liblice,Mělník,Středočeský kraj
Liblín,Rokycany,Plzeňský kraj
Libníkovice,Hradec Králové,Královéhradecký kraj
Libníč,České Budějovice,Jihočeský kraj
Libochovany,Litoměřice,Ústecký kraj
Libochovice,Litoměřice,Ústecký kraj
Libochovičky,Kladno,Středočeský kraj
Libodřice,Kolín,Středočeský kraj
Libomyšl,Beroun,Středočeský kraj
Liboměřice,Chrudim,Pardubický kraj
Libotenice,Litoměřice,Ústecký kraj
Libotov,Trutnov,Královéhradecký kraj
Libouchec,Ústí nad Labem,Ústecký kraj
Libovice,Kladno,Středočeský kraj
Liboš,Olomouc,Olomoucký kraj
Libošovice,Jičín,Královéhradecký kraj
Libočany,Louny,Ústecký kraj
Libořice,Louny,Ústecký kraj
Librantice,Hradec Králové,Královéhradecký kraj
Libušín,Kladno,Středočeský kraj
Libuň,Jičín,Královéhradecký kraj
Libštát,Semily,Liberecký kraj
Libá,Cheb,Karlovarský kraj
Libáň,Jičín,Královéhradecký kraj
Libčany,Hradec Králové,Královéhradecký kraj
Libčeves,Louny,Ústecký kraj
Libčice nad Vltavou,Praha-západ,Středočeský kraj
Liběchov,Mělník,Středočeský kraj
Libědice,Chomutov,Ústecký kraj
Libějice,Tábor,Jihočeský kraj
Libějovice,Strakonice,Jihočeský kraj
Libětice,Strakonice,Jihočeský kraj
Liběšice,Litoměřice,Ústecký kraj
Liběšice,Louny,Ústecký kraj
Libín,České Budějovice,Jihočeský kraj
Libňatov,Trutnov,Královéhradecký kraj
Libřice,Hradec Králové,Královéhradecký kraj
Lichkov,Ústí nad Orlicí,Pardubický kraj
Lichnov,Bruntál,Moravskoslezský kraj
